Device             tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn
vda             697.14     21887.74        15.00   48472589      33220
vda             696.68     21868.99        14.98   48496897      33220
vda             696.20     21850.03        14.97   48520401      33236
vda             695.70     21829.95        14.95   48541521      33236
vda             695.24     21810.86        14.94   48564505      33272
vda             694.75     21791.07        14.92   48586029      33272
vda             694.28     21772.41        14.93   48609729      33324
vda             693.73     21751.64        14.91   48628833      33324
vda             693.25     21732.42        14.89   48651069      33340
vda             692.74     21712.63        14.87   48672125      33340
vda             692.23     21693.01        14.86   48693221      33356
vda             691.74     21673.97        14.84   48715709      33364
vda             691.24     21653.98        14.84   48735749      33392
vda             690.72     21634.12        14.82   48756157      33392
vda             690.21     21614.38        14.80   48776533      33408
vda             689.72     21595.19        14.78   48798217      33408
vda             689.22     21575.20        14.77   48817777      33428
vda             688.72     21555.88        14.77   48838941      33456
vda             688.21     21535.83        14.75   48858117      33472
vda             687.75     21517.33        14.73   48880929      33472
vda             687.26     21497.98        14.72   48901461      33488
vda             686.75     21478.63        14.70   48922085      33488
vda             686.27     21459.48        14.69   48942849      33504
vda             685.78     21440.50        14.67   48964109      33508
vda             685.28     21421.32        14.66   48984781      33524
vda             684.77     21401.71        14.64   49004141      33524
vda             684.29     21383.17        14.63   49026045      33540
vda             683.82     21364.44        14.61   49047189      33540
vda             683.35     21345.84        14.60   49068749      33560
vda             682.87     21327.06        14.58   49089557      33568
vda             682.37     21307.72        14.57   49108969      33584
vda             681.89     21288.97        14.55   49129829      33584
vda             681.39     21270.00        14.54   49149865      33600
vda             680.90     21251.02        14.52   49169977      33600
vda             680.37     21231.56        14.51   49188649      33620
vda             679.86     21211.88        14.49   49206905      33620
vda             679.37     21193.17        14.48   49227065      33636
vda             678.88     21174.62        14.46   49247721      33636
vda             678.42     21156.43        14.46   49268877      33672
vda             677.90     21136.77        14.44   49286725      33672
vda             677.41     21118.24        14.43   49306869      33688
vda             676.91     21099.09        14.42   49325665      33712
vda             676.43     21080.63        14.41   49345745      33740
vda             675.93     21061.54        14.40   49364453      33740
vda             675.43     21042.76        14.38   49383577      33756
vda             674.90     21023.23        14.37   49401021      33760
vda             674.41     21004.43        14.36   49419857      33796
vda             673.92     20985.49        14.35   49438249      33796
vda             673.44     20967.35        14.33   49458633      33812
vda             672.95     20948.79        14.32   49477697      33812
vda             672.44     20929.72        14.31   49495649      33832
vda             671.92     20910.47        14.29   49512849      33832
vda             671.44     20891.99        14.28   49531973      33852
vda             670.90     20872.47        14.27   49548325      33872
vda             670.42     20854.09        14.26   49567453      33888
vda             669.93     20835.77        14.24   49586413      33888
vda             669.43     20817.05        14.23   49604533      33904
vda             668.92     20798.36        14.21   49622397      33908
vda             668.39     20778.78        14.20   49638217      33924
vda             667.93     20760.55        14.18   49656945      33924
vda             667.43     20742.24        14.17   49675601      33940
vda             666.92     20723.56        14.15   49693021      33940
vda             666.44     20705.59        14.14   49712265      33960
vda             665.97     20687.75        14.13   49731477      33968
vda             665.47     20669.01        14.12   49748645      33984
vda             664.99     20651.10        14.10   49767489      33984
vda             664.48     20632.31        14.09   49784309      34000
vda             664.00     20614.45        14.07   49803073      34000
vda             663.50     20596.25        14.06   49821081      34016
vda             663.05     20578.87        14.05   49840797      34024
vda             662.56     20560.90        14.04   49859161      34052
vda             662.04     20542.01        14.03   49874965      34052
vda             661.58     20524.36        14.02   49893901      34072
vda             661.07     20505.74        14.00   49910153      34072
vda             660.57     20487.26        13.99   49926829      34088
vda             660.10     20469.77        13.98   49945629      34100
vda             659.60     20451.75        13.97   49963217      34128
vda             659.12     20433.83        13.96   49980745      34152
vda             658.61     20415.46        13.95   49997253      34168
vda             658.12     20397.08        13.94   50013425      34168
vda             657.62     20379.01        13.92   50030457      34184
vda             657.14     20361.13        13.91   50047649      34188
vda             656.66     20343.89        13.90   50066505      34204
vda             656.19     20326.53        13.88   50084769      34204
vda             655.72     20309.20        13.88   50103205      34240
vda             655.18     20289.96        13.86   50116609      34240
vda             654.72     20272.61        13.85   50134769      34256
vda             654.24     20255.14        13.84   50152333      34264
vda             653.75     20237.56        13.83   50169713      34280
vda             653.28     20220.08        13.82   50187041      34292
vda             652.80     20202.67        13.81   50204637      34308
vda             652.32     20184.81        13.79   50220825      34308
vda             651.84     20167.13        13.78   50237537      34328
vda             651.34     20149.20        13.76   50253521      34328
vda             650.86     20131.35        13.75   50269401      34344
vda             650.36     20113.35        13.74   50284989      34344
vda             649.87     20095.50        13.73   50300645      34364
vda             649.38     20077.42        13.71   50315813      34364
vda             648.90     20060.28        13.70   50333053      34380
vda             648.42     20042.81        13.69   50349537      34388
vda             647.94     20025.57        13.68   50366313      34404
vda             647.44     20007.81        13.66   50381877      34404
vda             646.95     19990.30        13.65   50397753      34420
vda             646.47     19972.96        13.64   50414149      34424
vda             646.00     19955.73        13.63   50430513      34440
vda             645.51     19937.95        13.61   50445593      34440
vda             645.02     19920.57        13.60   50461405      34456
