time               total        used        free      shared  buff/cache   available
2023-07-31 21:13:13  Mem:           125G         42G         47G        1.1M         35G         82G
2023-07-31 21:13:16  Mem:           125G         42G         47G        1.1M         35G         82G
2023-07-31 21:13:19  Mem:           125G         42G         47G        1.1M         35G         81G
2023-07-31 21:13:22  Mem:           125G         42G         47G        1.1M         35G         81G
2023-07-31 21:13:25  Mem:           125G         42G         46G        1.1M         35G         81G
2023-07-31 21:13:28  Mem:           125G         42G         46G        1.1M         35G         81G
2023-07-31 21:13:31  Mem:           125G         42G         46G        1.1M         35G         81G
2023-07-31 21:13:34  Mem:           125G         42G         46G        1.1M         35G         81G
2023-07-31 21:13:37  Mem:           125G         42G         46G        1.1M         35G         81G
2023-07-31 21:13:40  Mem:           125G         42G         46G        1.1M         36G         81G
2023-07-31 21:13:43  Mem:           125G         42G         46G        1.1M         36G         81G
2023-07-31 21:13:46  Mem:           125G         43G         45G        1.1M         36G         81G
2023-07-31 21:13:49  Mem:           125G         43G         45G        1.1M         36G         81G
2023-07-31 21:13:52  Mem:           125G         43G         45G        1.1M         36G         80G
2023-07-31 21:13:55  Mem:           125G         43G         45G        1.1M         36G         80G
2023-07-31 21:13:58  Mem:           125G         43G         45G        1.1M         36G         80G
2023-07-31 21:14:01  Mem:           125G         43G         45G        1.1M         36G         80G
2023-07-31 21:14:04  Mem:           125G         43G         45G        1.1M         36G         80G
2023-07-31 21:14:07  Mem:           125G         43G         44G        1.1M         36G         80G
2023-07-31 21:14:10  Mem:           125G         43G         44G        1.1M         36G         80G
2023-07-31 21:14:13  Mem:           125G         43G         44G        1.1M         36G         80G
2023-07-31 21:14:16  Mem:           125G         43G         44G        1.1M         36G         80G
2023-07-31 21:14:19  Mem:           125G         44G         44G        1.1M         36G         80G
2023-07-31 21:14:22  Mem:           125G         44G         44G        1.1M         36G         80G
2023-07-31 21:14:25  Mem:           125G         44G         44G        1.1M         36G         79G
2023-07-31 21:14:28  Mem:           125G         44G         43G        1.1M         36G         79G
2023-07-31 21:14:31  Mem:           125G         44G         43G        1.1M         36G         79G
2023-07-31 21:14:34  Mem:           125G         44G         43G        1.1M         36G         79G
2023-07-31 21:14:37  Mem:           125G         44G         43G        1.1M         37G         79G
2023-07-31 21:14:40  Mem:           125G         44G         43G        1.1M         37G         79G
2023-07-31 21:14:43  Mem:           125G         44G         43G        1.1M         37G         79G
2023-07-31 21:14:46  Mem:           125G         44G         43G        1.1M         37G         79G
2023-07-31 21:14:49  Mem:           125G         44G         42G        1.1M         37G         79G
2023-07-31 21:14:52  Mem:           125G         44G         42G        1.1M         37G         79G
2023-07-31 21:14:55  Mem:           125G         45G         42G        1.1M         37G         79G
2023-07-31 21:14:58  Mem:           125G         45G         42G        1.1M         37G         79G
2023-07-31 21:15:01  Mem:           125G         45G         42G        1.1M         37G         78G
2023-07-31 21:15:04  Mem:           125G         45G         42G        1.1M         37G         78G
2023-07-31 21:15:07  Mem:           125G         45G         42G        1.1M         37G         78G
2023-07-31 21:15:10  Mem:           125G         45G         42G        1.1M         37G         78G
2023-07-31 21:15:13  Mem:           125G         45G         41G        1.1M         37G         78G
2023-07-31 21:15:16  Mem:           125G         45G         41G        1.1M         37G         78G
2023-07-31 21:15:19  Mem:           125G         45G         41G        1.1M         37G         78G
2023-07-31 21:15:22  Mem:           125G         45G         41G        1.1M         37G         78G
2023-07-31 21:15:25  Mem:           125G         45G         41G        1.1M         37G         78G
2023-07-31 21:15:28  Mem:           125G         45G         41G        1.1M         37G         78G
2023-07-31 21:15:31  Mem:           125G         46G         41G        1.1M         37G         78G
2023-07-31 21:15:34  Mem:           125G         46G         40G        1.1M         38G         78G
2023-07-31 21:15:37  Mem:           125G         46G         40G        1.1M         38G         77G
2023-07-31 21:15:40  Mem:           125G         46G         40G        1.1M         38G         77G
2023-07-31 21:15:43  Mem:           125G         46G         40G        1.1M         38G         77G
2023-07-31 21:15:46  Mem:           125G         46G         40G        1.1M         38G         77G
2023-07-31 21:15:49  Mem:           125G         46G         40G        1.1M         38G         77G
2023-07-31 21:15:52  Mem:           125G         46G         40G        1.1M         38G         77G
2023-07-31 21:15:55  Mem:           125G         46G         40G        1.1M         38G         77G
2023-07-31 21:15:58  Mem:           125G         46G         39G        1.1M         38G         77G
2023-07-31 21:16:01  Mem:           125G         46G         39G        1.1M         38G         77G
2023-07-31 21:16:04  Mem:           125G         46G         39G        1.1M         38G         77G
2023-07-31 21:16:07  Mem:           125G         46G         39G        1.1M         38G         77G
2023-07-31 21:16:10  Mem:           125G         47G         39G        1.1M         38G         77G
2023-07-31 21:16:13  Mem:           125G         47G         39G        1.1M         38G         77G
2023-07-31 21:16:16  Mem:           125G         47G         39G        1.1M         38G         76G
2023-07-31 21:16:19  Mem:           125G         47G         39G        1.1M         38G         76G
2023-07-31 21:16:22  Mem:           125G         47G         38G        1.1M         38G         76G
2023-07-31 21:16:25  Mem:           125G         47G         38G        1.1M         38G         76G
2023-07-31 21:16:28  Mem:           125G         47G         38G        1.1M         38G         76G
2023-07-31 21:16:31  Mem:           125G         47G         38G        1.1M         38G         76G
2023-07-31 21:16:34  Mem:           125G         47G         38G        1.1M         39G         76G
2023-07-31 21:16:37  Mem:           125G         47G         38G        1.1M         39G         76G
2023-07-31 21:16:40  Mem:           125G         47G         38G        1.1M         39G         76G
2023-07-31 21:16:43  Mem:           125G         47G         38G        1.1M         39G         76G
2023-07-31 21:16:46  Mem:           125G         47G         37G        1.1M         39G         76G
2023-07-31 21:16:49  Mem:           125G         48G         37G        1.1M         39G         76G
2023-07-31 21:16:52  Mem:           125G         48G         37G        1.1M         39G         76G
2023-07-31 21:16:55  Mem:           125G         48G         37G        1.1M         39G         76G
2023-07-31 21:16:58  Mem:           125G         48G         37G        1.1M         39G         75G
2023-07-31 21:17:01  Mem:           125G         48G         37G        1.1M         39G         75G
2023-07-31 21:17:04  Mem:           125G         48G         37G        1.1M         39G         75G
2023-07-31 21:17:07  Mem:           125G         48G         37G        1.1M         39G         75G
2023-07-31 21:17:10  Mem:           125G         48G         37G        1.1M         39G         75G
2023-07-31 21:17:13  Mem:           125G         48G         36G        1.1M         39G         75G
2023-07-31 21:17:16  Mem:           125G         48G         36G        1.1M         39G         75G
2023-07-31 21:17:19  Mem:           125G         48G         36G        1.1M         39G         75G
2023-07-31 21:17:22  Mem:           125G         48G         36G        1.1M         39G         75G
2023-07-31 21:17:25  Mem:           125G         48G         36G        1.1M         39G         75G
2023-07-31 21:17:28  Mem:           125G         48G         36G        1.1M         39G         75G
2023-07-31 21:17:31  Mem:           125G         48G         36G        1.1M         39G         75G
2023-07-31 21:17:34  Mem:           125G         49G         36G        1.1M         39G         75G
2023-07-31 21:17:37  Mem:           125G         49G         36G        1.1M         40G         75G
2023-07-31 21:17:40  Mem:           125G         49G         35G        1.1M         40G         75G
2023-07-31 21:17:43  Mem:           125G         49G         35G        1.1M         40G         74G
2023-07-31 21:17:46  Mem:           125G         49G         35G        1.1M         40G         74G
2023-07-31 21:17:49  Mem:           125G         49G         35G        1.1M         40G         74G
2023-07-31 21:17:52  Mem:           125G         49G         35G        1.1M         40G         74G
2023-07-31 21:17:55  Mem:           125G         49G         35G        1.1M         40G         74G
2023-07-31 21:17:58  Mem:           125G         49G         35G        1.1M         40G         74G
