time               total        used        free      shared  buff/cache   available
2023-07-31 22:54:59  Mem:           125G         23G         82G        1.1M         18G        100G
2023-07-31 22:55:02  Mem:           125G         23G         82G        1.1M         18G        100G
2023-07-31 22:55:05  Mem:           125G         23G         82G        1.1M         18G        100G
2023-07-31 22:55:08  Mem:           125G         24G         82G        1.1M         18G        100G
2023-07-31 22:55:11  Mem:           125G         24G         82G        1.1M         18G        100G
2023-07-31 22:55:14  Mem:           125G         24G         82G        1.1M         18G        100G
2023-07-31 22:55:17  Mem:           125G         24G         82G        1.1M         18G        100G
2023-07-31 22:55:20  Mem:           125G         24G         82G        1.1M         18G        100G
2023-07-31 22:55:23  Mem:           125G         24G         82G        1.1M         18G        100G
2023-07-31 22:55:26  Mem:           125G         24G         82G        1.1M         18G        100G
2023-07-31 22:55:29  Mem:           125G         24G         82G        1.1M         18G         99G
2023-07-31 22:55:32  Mem:           125G         24G         81G        1.1M         18G         99G
2023-07-31 22:55:35  Mem:           125G         24G         81G        1.1M         18G         99G
2023-07-31 22:55:38  Mem:           125G         24G         81G        1.1M         19G         99G
2023-07-31 22:55:41  Mem:           125G         24G         81G        1.1M         19G         99G
2023-07-31 22:55:45  Mem:           125G         24G         81G        1.1M         19G         99G
2023-07-31 22:55:48  Mem:           125G         24G         81G        1.1M         19G         99G
2023-07-31 22:55:51  Mem:           125G         24G         81G        1.1M         19G         99G
2023-07-31 22:55:54  Mem:           125G         24G         81G        1.1M         19G         99G
2023-07-31 22:55:57  Mem:           125G         24G         81G        1.1M         19G         99G
2023-07-31 22:56:00  Mem:           125G         24G         81G        1.1M         19G         99G
2023-07-31 22:56:03  Mem:           125G         24G         81G        1.1M         19G         99G
2023-07-31 22:56:06  Mem:           125G         24G         81G        1.1M         19G         99G
2023-07-31 22:56:09  Mem:           125G         24G         81G        1.1M         19G         99G
2023-07-31 22:56:12  Mem:           125G         24G         81G        1.1M         19G         99G
2023-07-31 22:56:15  Mem:           125G         24G         81G        1.1M         19G         99G
2023-07-31 22:56:18  Mem:           125G         24G         81G        1.1M         19G         99G
2023-07-31 22:56:21  Mem:           125G         24G         80G        1.1M         19G         99G
2023-07-31 22:56:24  Mem:           125G         24G         80G        1.1M         19G         99G
2023-07-31 22:56:27  Mem:           125G         24G         80G        1.1M         19G         99G
2023-07-31 22:56:30  Mem:           125G         24G         80G        1.1M         19G         99G
2023-07-31 22:56:33  Mem:           125G         24G         80G        1.1M         19G         99G
2023-07-31 22:56:36  Mem:           125G         24G         80G        1.1M         19G         99G
2023-07-31 22:56:39  Mem:           125G         24G         80G        1.1M         19G         99G
2023-07-31 22:56:42  Mem:           125G         24G         80G        1.1M         19G         99G
2023-07-31 22:56:45  Mem:           125G         24G         80G        1.1M         19G         99G
2023-07-31 22:56:48  Mem:           125G         24G         80G        1.1M         19G         99G
2023-07-31 22:56:51  Mem:           125G         24G         80G        1.1M         19G         99G
2023-07-31 22:56:54  Mem:           125G         25G         80G        1.1M         19G         99G
2023-07-31 22:56:57  Mem:           125G         25G         80G        1.1M         19G         99G
2023-07-31 22:57:00  Mem:           125G         25G         80G        1.1M         19G         99G
2023-07-31 22:57:03  Mem:           125G         25G         80G        1.1M         19G         99G
2023-07-31 22:57:06  Mem:           125G         25G         79G        1.1M         20G         99G
2023-07-31 22:57:09  Mem:           125G         25G         79G        1.1M         20G         99G
