      enp1s0      
 KB/s in  KB/s out
  158.71    359.63
  173.07    391.00
  148.74    343.69
  148.02    342.85
  146.71    340.40
  164.69    376.46
  178.58    403.13
  158.96    363.07
  140.50    326.04
  177.75    409.71
  150.30    350.24
  169.96    397.96
  145.88    340.88
  148.63    345.65
  159.27    371.77
  149.97    347.96
  175.77    405.99
  141.61    332.87
  161.62    369.77
  162.61    377.88
  159.77    373.56
  165.59    383.95
  149.68    346.37
  151.31    352.52
  172.02    398.85
  157.74    369.37
  155.40    364.95
  154.26    361.78
  151.65    354.54
  164.51    378.55
  163.25    379.20
  156.32    361.75
  154.23    359.73
  162.60    379.86
  149.97    347.67
  174.57    407.17
  147.15    343.92
  175.75    408.42
  152.04    356.43
  150.86    352.16
  152.74    358.01
  168.09    394.20
  158.07    371.93
  163.00    381.03
  159.56    374.40
  157.40    369.33
  157.78    365.93
  153.53    356.77
  141.19    325.46
  167.79    389.93
  165.85    385.62
  168.49    393.81
  149.20    350.19
  151.51    352.19
  157.71    369.09
  171.97    397.73
  156.25    364.87
  169.61    390.89
  163.29    378.96
  153.62    364.57
  157.23    360.58
  155.43    362.47
  165.16    381.76
  150.93    349.91
  156.48    365.67
  157.03    363.68
  156.02    362.10
  157.45    361.18
  148.57    349.12
  163.61    382.27
  166.20    387.69
  152.54    354.12
  160.52    371.59
  162.72    376.57
  159.08    371.45
  169.76    394.61
  167.49    388.62
  175.49    407.83
  157.24    366.82
  167.96    392.34
  156.88    364.51
  158.53    368.54
  157.71    368.52
  153.82    357.55
  153.13    352.84
  165.83    387.59
  164.22    379.91
  155.55    363.47
  162.40    375.38
  157.65    366.70
  171.04    393.59
  156.08    364.38
  161.25    376.58
  152.02    352.05
  161.97    373.27
  161.23    377.11
  175.59    408.57
  167.01    386.10
  155.24    360.19
  162.07    376.34
  173.60    394.53
  154.26    349.11
  155.16    350.06
  167.81    375.43
  177.22    396.78
  156.85    352.89
  173.59    390.68
  155.03    350.21
  160.39    364.14
  136.66    315.29
  161.70    364.68
  150.74    341.36
  172.20    391.23
  160.30    359.47
  155.88    354.01
  181.12    407.21
  169.95    379.05
  164.46    368.01
  160.47    370.35
  175.67    402.40
  154.97    356.15
  167.85    389.56
  162.92    377.75
  159.44    369.71
  163.46    378.39
  157.85    370.50
  181.60    425.82
  152.31    355.41
  152.21    354.95
  169.86    398.64
  155.00    363.96
  177.71    406.32
  165.37    383.42
  159.59    365.22
  141.73    327.90
  179.75    420.79
  154.68    359.32
  175.49    407.18
  161.40    372.71
  166.71    387.46
  160.61    374.29
  184.09    427.09
  167.51    386.30
  160.79    368.31
  160.84    376.07
  159.21    371.00
  148.38    344.52
  143.90    332.43
  164.63    378.37
  168.93    390.51
  152.81    350.09
  153.73    354.47
  172.18    398.96
  162.64    380.47
  161.59    374.66
  165.29    382.12
  149.72    349.63
  164.08    378.05
  159.34    368.49
  177.45    411.29
  162.96    383.98
  171.71    401.58
  167.80    393.21
  166.53    388.13
  160.77    371.01
  162.31    378.01
  165.33    387.14
  164.51    381.70
  165.81    384.93
  160.92    378.70
  169.49    392.64
  164.39    382.75
  174.90    404.90
  161.96    374.67
  160.94    377.73
  191.58    448.36
  148.45    350.89
  171.42    400.72
  168.53    393.07
  150.69    349.68
  167.77    387.52
  161.80    378.21
  165.45    385.32
  151.32    354.66
  164.31    385.74
  165.78    388.70
  180.71    420.20
  171.34    402.19
  172.75    401.01
  175.37    404.31
  165.23    387.27
  169.52    393.94
  155.99    363.92
  157.75    371.05
  154.36    361.28
  169.32    396.55
  151.09    352.20
  155.24    359.45
  170.77    397.47
  163.66    379.76
  162.12    378.66
  172.93    404.83
  170.04    398.67
  180.14    423.93
  142.31    332.67
  163.53    382.50
  161.38    375.34
  159.84    370.89
  163.64    378.08
  164.46    383.34
  167.06    389.08
  179.28    417.29
  160.13    374.17
  175.90    405.75
  159.16    366.42
  158.57    361.48
  164.29    372.38
   31.57     80.22
    1.17      0.75
    0.80      0.29
    0.64      0.34
    0.80      0.21
    1.79      0.27
    1.71      0.27
    1.55      0.28
    1.61      0.26
    1.54      0.25
    1.47      0.38
    0.98      0.30
    1.42      0.21
    0.93      0.64
    0.58      0.34
    1.76      0.39
    2.17      0.34
    1.78      0.46
    1.30      0.22
    1.83      0.19
    1.35      0.27
    1.59      0.32
    0.81      0.21
    0.89      0.25
    7.39      0.16
    2.78      1.63
    1.94      0.38
    2.37      0.33
    1.37      0.57
    1.56      0.34
    0.91      0.30
    0.80      0.28
    0.85      0.32
    0.89      0.49
    1.37      0.22
    2.15      0.29
    1.57      0.25
    2.21      0.31
    1.05      0.26
    1.48      0.52
    1.25      0.21
    0.93      0.32
    1.00      0.39
    0.83      0.24
  276.00    596.38
  165.51    387.31
  164.49    369.31
  169.01    387.89
  162.68    379.06
  164.52    381.89
  169.75    394.31
  172.84    387.36
  163.57    369.62
  155.47    358.89
  171.60    397.60
  161.00    371.38
  165.97    384.91
  185.34    432.30
  158.12    366.54
  154.68    364.16
  182.54    421.52
  168.83    389.45
  155.36    347.96
  164.67    368.04
  155.67    350.57
  166.76    377.58
  178.02    394.26
  159.26    360.22
  154.39    348.45
  175.83    396.84
  163.68    369.21
  167.09    378.55
  159.72    361.53
  181.67    415.42
  142.88    326.09
  157.87    365.75
  181.26    422.87
  170.65    397.98
  154.81    363.28
  160.76    369.06
  186.53    429.62
  176.05    410.23
  155.54    364.45
  169.82    397.91
  174.10    408.66
  180.00    418.47
  178.19    418.67
  163.13    384.32
  161.93    377.33
  165.20    380.95
  176.36    408.36
  161.60    381.01
  167.54    385.86
  156.03    361.31
  167.90    388.32
  162.68    383.67
  171.72    396.63
  171.02    396.32
  169.30    395.91
  164.24    381.30
  162.95    375.53
  168.10    385.32
  148.49    341.99
  169.13    385.87
  172.94    395.78
  152.74    346.49
  165.32    377.17
  172.05    396.94
  172.99    390.06
  179.46    401.52
  153.48    356.10
  164.94    384.68
  166.61    386.66
  177.82    413.31
  174.76    406.22
  171.79    398.81
  167.82    393.80
  164.77    385.38
  170.08    395.88
  168.72    390.67
  169.44    394.51
  166.94    383.04
  167.95    387.88
  178.02    413.36
  153.98    355.96
  145.89    336.75
  162.07    375.47
  171.60    390.00
  157.13    353.98
  159.56    360.51
  189.85    427.53
  153.73    349.79
  164.14    376.35
  157.02    354.24
  175.99    398.87
  175.54    397.96
  170.35    385.11
  176.17    413.43
  164.02    383.54
  160.77    369.29
  182.83    412.35
  150.94    341.77
  174.11    397.36
  162.97    365.38
  160.46    359.92
  168.12    378.36
  175.22    406.94
  180.63    420.55
  166.98    376.83
  171.51    394.77
  167.71    394.11
  168.90    395.76
  176.22    410.53
  187.60    418.44
  166.47    376.86
  162.80    372.21
  177.43    404.80
  173.54    394.75
  166.62    384.17
  175.75    403.66
  166.61    379.79
  170.32    395.20
  155.08    349.18
  192.31    430.93
  205.45    459.32
  171.24    389.27
  163.16    368.49
  163.73    367.32
  197.05    447.78
  173.72    391.56
  157.91    358.05
  167.56    381.35
  167.63    385.79
  175.76    397.57
  161.68    365.41
  176.19    405.29
  172.39    391.23
  170.36    382.42
  160.25    359.13
  167.48    379.49
  175.07    392.88
  164.14    380.07
  166.00    382.50
  167.65    380.74
  157.62    356.90
  172.03    387.22
  145.39    333.24
  167.87    390.97
  179.08    408.97
  168.88    385.32
  181.65    403.47
  163.67    371.73
  159.10    356.91
  179.94    409.61
  174.83    389.88
  176.72    402.51
  166.69    379.78
  169.14    384.82
  171.72    382.70
  194.31    432.50
  171.80    383.36
  142.13    325.98
  170.27    380.49
  173.04    392.80
  180.40    403.93
  148.98    342.37
  175.93    399.09
  173.03    390.02
  157.11    354.05
  164.93    379.08
  194.88    428.36
  173.95    388.50
  170.15    382.30
  175.02    393.84
  174.49    393.81
  171.19    383.29
  170.77    379.69
  163.01    362.98
  169.19    380.65
  171.63    385.35
  176.16    407.47
  175.50    407.86
  169.08    390.96
  186.22    429.08
  171.51    392.51
  173.29    386.42
  177.05    397.54
  173.79    389.86
  156.63    361.25
  182.20    415.47
  184.65    417.18
  172.77    396.82
  176.93    404.00
  191.70    432.57
  164.17    372.31
  174.33    400.68
  163.65    378.28
  196.04    442.14
  174.99    393.04
  171.30    385.81
  176.32    390.56
  177.32    395.17
  162.43    368.17
  178.53    407.72
  205.63    459.72
  170.45    380.94
  188.27    422.92
  174.11    400.69
  175.84    400.17
  178.02    402.64
  203.46    462.62
  161.57    372.56
  153.48    355.43
  181.67    410.59
  180.84    409.06
  171.91    398.85
  180.28    415.00
  178.48    413.30
  197.67    459.34
  168.63    395.38
  177.53    411.95
  174.70    402.08
  177.30    413.21
  177.69    411.97
  174.48    407.30
  180.25    424.22
  179.58    410.32
  177.10    405.55
  158.93    355.73
  180.38    406.34
  176.42    398.96
  172.64    392.25
  178.50    402.66
  184.08    422.34
  162.02    374.12
  175.27    408.14
  170.92    391.87
  172.54    391.93
  176.11    396.76
  176.21    389.63
  177.86    406.45
  200.08    444.74
  165.75    380.17
  156.42    359.90
  167.32    380.92
  197.21    451.11
  147.01    333.69
  183.31    413.51
  200.76    455.48
  172.01    395.89
  170.63    392.63
  181.96    425.05
  180.22    421.78
  171.99    400.96
  186.58    434.21
  173.58    404.50
  181.48    420.54
  181.30    422.82
  186.58    432.41
  178.22    410.59
  166.55    387.66
  169.28    390.25
  173.19    401.42
  177.02    408.77
  166.42    383.97
  146.04    335.41
  171.69    393.89
  212.62    488.13
  160.18    371.33
  189.27    436.35
  173.85    395.10
  184.24    410.08
  190.95    426.11
  185.59    417.32
  176.95    397.30
  193.67    438.54
  191.23    429.90
  156.92    354.34
  205.26    461.92
  168.96    397.94
  185.54    431.72
  197.73    462.29
  182.73    424.17
  171.22    397.18
  185.81    427.83
  178.14    411.64
  186.02    430.65
  170.31    394.66
  174.86    406.16
  205.37    473.09
  177.89    414.40
  185.52    430.71
  182.21    420.61
  150.72    345.08
  183.37    424.55
  173.82    403.62
  169.38    390.38
  162.92    380.88
  185.67    432.59
  194.76    453.20
  190.17    439.75
  175.55    407.54
  175.97    409.02
  176.01    404.02
  158.12    367.31
  187.27    433.76
  167.72    388.25
  181.91    408.54
  188.77    420.48
  163.27    366.88
  168.62    375.70
  175.70    387.95
  174.43    389.00
  176.36    395.26
  192.56    430.14
  183.66    412.64
  178.28    400.40
  197.28    446.56
  173.46    396.12
  175.99    406.17
  191.13    441.49
  194.46    446.03
  175.64    406.37
  170.95    389.45
  169.71    393.09
  163.23    371.03
  196.62    443.23
  179.80    400.53
  196.40    436.45
  187.42    419.99
  156.26    355.77
  179.51    402.80
  161.96    371.26
  163.23    382.00
  185.91    418.43
  177.33    410.20
  168.23    386.96
  174.81    396.60
  197.70    447.23
  175.93    395.38
  179.61    399.32
  186.43    419.26
  191.79    432.34
  176.48    397.02
  192.04    429.98
  184.39    408.48
  169.76    391.67
  195.97    438.10
  185.65    419.57
  186.06    435.81
  144.34    338.11
  211.02    479.12
  179.43    405.12
  178.99    407.85
  186.39    426.11
  187.24    422.80
  189.61    428.14
  166.40    376.68
  180.39    412.53
  183.35    417.25
  185.67    409.60
  206.32    461.75
  161.63    364.96
  185.52    414.60
  193.89    441.03
  182.08    423.07
  185.82    431.69
  185.45    427.30
  170.41    390.26
  176.42    407.03
  209.88    487.10
  167.92    386.46
  191.91    442.32
  186.98    437.27
  185.10    431.04
  177.82    412.37
  175.59    403.70
  178.24    411.48
  193.82    453.88
  196.87    455.24
  171.02    395.28
  172.42    401.37
  189.31    440.73
  186.44    434.64
  181.43    418.81
  191.28    438.79
  185.51    426.27
  193.47    444.50
  178.66    417.30
  204.10    479.81
  176.10    410.77
  184.26    422.59
  168.79    386.70
  182.39    424.57
  168.82    388.25
  183.60    417.94
  193.95    438.08
  160.97    360.61
  177.41    398.21
  189.46    426.88
  178.51    396.33
  190.58    428.70
  184.63    421.53
  197.76    454.27
  181.33    415.05
  182.09    402.85
  213.84    478.76
  186.73    419.27
  156.99    348.63
  198.34    447.63
  188.61    420.09
  177.03    394.15
  186.15    416.88
  200.22    444.58
  179.93    398.87
  180.77    402.89
  182.71    410.99
  177.02    396.28
  215.14    475.89
  177.51    394.89
  191.93    424.31
  185.34    413.60
  176.69    395.39
  193.22    430.98
  195.75    436.15
  182.39    404.11
  187.05    419.99
  185.81    419.71
  194.12    432.24
  200.04    442.65
  192.65    428.76
  176.88    395.81
  217.35    482.70
  181.53    404.64
  181.81    407.99
  180.38    401.33
  184.13    417.69
  219.51    501.87
  185.62    426.69
  191.00    444.67
  203.51    464.27
  215.52    494.10
  190.78    441.95
  190.43    443.14
  190.63    441.92
  176.27    411.61
  212.11    486.40
  194.20    449.04
  186.33    436.00
  183.65    422.13
  194.40    451.99
  199.65    462.65
  192.21    445.00
  186.57    433.13
  186.79    432.76
  199.01    458.55
  182.86    425.51
  175.48    407.17
  201.24    467.10
  188.11    439.71
  202.97    472.16
  206.31    480.33
  189.54    441.72
  191.03    444.97
  166.79    384.09
  202.31    466.80
  187.87    436.05
  191.48    443.39
  186.33    437.10
  186.53    433.26
  198.41    460.57
  200.08    466.55
  190.99    444.05
  177.17    412.19
  189.37    439.80
  204.06    479.22
  172.89    402.25
  195.13    454.01
  190.54    441.01
  194.44    449.57
  191.79    444.52
  183.00    423.71
  171.80    394.55
  187.86    434.45
  187.47    433.52
  182.46    418.79
  187.23    429.57
  205.19    469.67
  186.16    430.61
  201.68    468.55
  197.61    462.82
  207.72    482.21
  199.84    466.15
  198.51    460.28
  206.51    466.29
  176.60    393.82
  178.98    408.04
  187.85    424.03
  211.73    469.29
  203.65    450.08
  181.24    413.72
  199.55    459.56
  195.04    450.13
  125.18    279.20
  189.34    427.18
  203.78    462.92
  185.54    425.13
  227.46    520.07
  166.63    387.33
  189.65    437.91
  198.77    458.24
  186.31    435.40
  195.93    455.04
  202.34    467.97
