time               total        used        free      shared  buff/cache   available
2023-07-29 14:26:51  Mem:           125G         15G        106G        1.1M        2.7G        108G
2023-07-29 14:26:54  Mem:           125G         15G        106G        1.1M        2.8G        108G
2023-07-29 14:26:57  Mem:           125G         15G        106G        1.1M        2.8G        108G
2023-07-29 14:27:00  Mem:           125G         15G        106G        1.1M        2.8G        108G
2023-07-29 14:27:03  Mem:           125G         15G        106G        1.1M        2.8G        108G
2023-07-29 14:27:06  Mem:           125G         15G        106G        1.1M        2.8G        108G
2023-07-29 14:27:09  Mem:           125G         15G        106G        1.1M        2.8G        108G
2023-07-29 14:27:15  Mem:           125G         15G        106G        1.1M        2.8G        108G
2023-07-29 14:27:18  Mem:           125G         15G        106G        1.1M        2.8G        108G
2023-07-29 14:27:21  Mem:           125G         15G        106G        1.1M        2.8G        108G
2023-07-29 14:27:24  Mem:           125G         15G        106G        1.1M        2.9G        108G
2023-07-29 14:27:31  Mem:           125G         15G        106G        1.1M        2.9G        108G
2023-07-29 14:27:34  Mem:           125G         15G        106G        1.1M        2.9G        108G
2023-07-29 14:27:39  Mem:           125G         15G        106G        1.1M        2.9G        108G
2023-07-29 14:27:42  Mem:           125G         15G        106G        1.1M        2.9G        108G
2023-07-29 14:27:46  Mem:           125G         15G        106G        1.1M        2.9G        108G
2023-07-29 14:27:49  Mem:           125G         15G        106G        1.1M        2.9G        108G
2023-07-29 14:27:52  Mem:           125G         15G        106G        1.1M        2.9G        108G
2023-07-29 14:27:55  Mem:           125G         15G        106G        1.1M        3.0G        108G
2023-07-29 14:27:58  Mem:           125G         15G        106G        1.1M        3.0G        108G
2023-07-29 14:28:02  Mem:           125G         15G        106G        1.1M        3.0G        108G
2023-07-29 14:28:05  Mem:           125G         15G        106G        1.1M        3.0G        108G
2023-07-29 14:28:08  Mem:           125G         15G        106G        1.1M        3.0G        108G
2023-07-29 14:28:11  Mem:           125G         15G        106G        1.1M        3.0G        108G
2023-07-29 14:28:14  Mem:           125G         15G        106G        1.1M        3.0G        108G
2023-07-29 14:28:17  Mem:           125G         15G        106G        1.1M        3.0G        108G
2023-07-29 14:28:20  Mem:           125G         15G        106G        1.1M        3.0G        108G
2023-07-29 14:28:23  Mem:           125G         15G        106G        1.1M        3.0G        108G
2023-07-29 14:28:26  Mem:           125G         15G        106G        1.1M        3.1G        108G
2023-07-29 14:28:30  Mem:           125G         15G        106G        1.1M        3.1G        108G
2023-07-29 14:28:33  Mem:           125G         15G        106G        1.1M        3.1G        108G
2023-07-29 14:28:36  Mem:           125G         15G        106G        1.1M        3.1G        108G
2023-07-29 14:28:40  Mem:           125G         15G        106G        1.1M        3.1G        108G
2023-07-29 14:28:43  Mem:           125G         15G        106G        1.1M        3.1G        108G
2023-07-29 14:28:46  Mem:           125G         15G        106G        1.1M        3.1G        108G
2023-07-29 14:28:49  Mem:           125G         15G        106G        1.1M        3.1G        108G
2023-07-29 14:28:53  Mem:           125G         15G        106G        1.1M        3.1G        108G
2023-07-29 14:28:56  Mem:           125G         15G        106G        1.1M        3.1G        108G
2023-07-29 14:28:59  Mem:           125G         15G        105G        1.1M        3.2G        108G
2023-07-29 14:29:02  Mem:           125G         16G        105G        1.1M        3.2G        108G
2023-07-29 14:29:07  Mem:           125G         16G        105G        1.1M        3.2G        108G
2023-07-29 14:29:10  Mem:           125G         16G        105G        1.1M        3.2G        108G
2023-07-29 14:29:14  Mem:           125G         16G        105G        1.1M        3.2G        108G
2023-07-29 14:29:17  Mem:           125G         16G        105G        1.1M        3.2G        108G
2023-07-29 14:29:21  Mem:           125G         16G        105G        1.1M        3.2G        108G
2023-07-29 14:29:24  Mem:           125G         16G        105G        1.1M        3.2G        108G
2023-07-29 14:29:32  Mem:           125G         16G        105G        1.1M        3.3G        108G
2023-07-29 14:29:35  Mem:           125G         16G        105G        1.1M        3.3G        108G
2023-07-29 14:29:38  Mem:           125G         16G        105G        1.1M        3.3G        108G
2023-07-29 14:29:42  Mem:           125G         16G        105G        1.1M        3.3G        108G
2023-07-29 14:29:45  Mem:           125G         16G        105G        1.1M        3.3G        108G
2023-07-29 14:29:48  Mem:           125G         16G        105G        1.1M        3.3G        108G
2023-07-29 14:29:51  Mem:           125G         16G        105G        1.1M        3.3G        108G
2023-07-29 14:29:54  Mem:           125G         16G        105G        1.1M        3.3G        108G
2023-07-29 14:29:58  Mem:           125G         16G        105G        1.1M        3.4G        108G
2023-07-29 14:30:01  Mem:           125G         16G        105G        1.1M        3.4G        108G
2023-07-29 14:30:04  Mem:           125G         16G        105G        1.1M        3.4G        108G
2023-07-29 14:30:07  Mem:           125G         16G        105G        1.1M        3.4G        108G
2023-07-29 14:30:10  Mem:           125G         16G        105G        1.1M        3.4G        107G
2023-07-29 14:30:13  Mem:           125G         16G        105G        1.1M        3.4G        107G
2023-07-29 14:30:16  Mem:           125G         16G        105G        1.1M        3.4G        107G
2023-07-29 14:30:20  Mem:           125G         16G        105G        1.1M        3.4G        107G
2023-07-29 14:30:23  Mem:           125G         16G        105G        1.1M        3.4G        107G
2023-07-29 14:30:26  Mem:           125G         16G        105G        1.1M        3.4G        107G
2023-07-29 14:30:29  Mem:           125G         16G        105G        1.1M        3.5G        107G
2023-07-29 14:30:32  Mem:           125G         16G        105G        1.1M        3.5G        107G
2023-07-29 14:30:35  Mem:           125G         16G        105G        1.1M        3.5G        107G
2023-07-29 14:30:38  Mem:           125G         16G        105G        1.1M        3.5G        107G
2023-07-29 14:30:44  Mem:           125G         16G        105G        1.1M        3.5G        107G
2023-07-29 14:30:47  Mem:           125G         16G        105G        1.1M        3.5G        107G
2023-07-29 14:30:50  Mem:           125G         16G        105G        1.1M        3.5G        107G
2023-07-29 14:30:53  Mem:           125G         16G        105G        1.1M        3.5G        107G
2023-07-29 14:30:57  Mem:           125G         16G        105G        1.1M        3.5G        107G
2023-07-29 14:31:00  Mem:           125G         16G        105G        1.1M        3.6G        107G
2023-07-29 14:31:03  Mem:           125G         16G        105G        1.1M        3.6G        107G
2023-07-29 14:31:06  Mem:           125G         16G        105G        1.1M        3.6G        107G
2023-07-29 14:31:09  Mem:           125G         16G        105G        1.1M        3.6G        107G
2023-07-29 14:31:12  Mem:           125G         16G        105G        1.1M        3.6G        107G
2023-07-29 14:31:15  Mem:           125G         16G        105G        1.1M        3.6G        107G
2023-07-29 14:31:18  Mem:           125G         16G        105G        1.1M        3.6G        107G
